Interactor1	Interactor2	Interaction
P08123	P08123	R-HSA-2396105
P08123	P08123	R-HSA-2396105
P02452	P02452	R-HSA-2396105
P02452	P02452	R-HSA-2396105
P02452	P08123	R-HSA-2396105
P02452	P02452	R-HSA-2396105
P02452	P08123	R-HSA-2396105
P02452	P08123	R-HSA-2396105
P02452	P02452	R-HSA-2396231
P02452	P02452	R-HSA-2396231
P02452	P08123	R-HSA-2396231
P08123	P08123	R-HSA-2396231
P02452	P02452	R-HSA-2396231
P02452	P08123	R-HSA-2396231
P08123	P08123	R-HSA-2396231
P02452	P02452	R-HSA-2396231
P08123	P08123	R-HSA-2396231
P02452	P08123	R-HSA-2396231
P08123	P08123	R-HSA-2396231
P08123	P08123	R-HSA-2396231
P02452	P02452	R-HSA-2396231
P02452	P08123	R-HSA-2396231
P02452	P08123	R-HSA-2396231
P08123	P08123	R-HSA-2396231
P02452	P08123	R-HSA-2396231
P02452	P08123	R-HSA-2396231
P02452	P02452	R-HSA-2396231
P02452	P08123	R-HSA-2396231
P02452	P08123	R-HSA-2396231
O76075	O76075	R-HSA-350274
Q15768	Q15768	R-HSA-9028356
Q15768	P98172	R-HSA-9028356
P98172	P98172	R-HSA-9028356
P52799	Q15768	R-HSA-9028356
P52799	P52799	R-HSA-9028356
P52799	P98172	R-HSA-9028356
P15502	P15502	R-HSA-2161232
Q9Y6C2	Q9Y6C2	R-HSA-2161354
Q9BXX0	Q9BXX0	R-HSA-2161398
Q9NT22	Q9NT22	R-HSA-2161347
P63261	P63261	R-HSA-9020831
P62736	P62736	R-HSA-9917581
30616	P63267	R-HSA-9917581
P63267	P63267	R-HSA-9917581
30616	P62736	R-HSA-9917581
P62736	P63267	R-HSA-9917581
P60709	P68032	R-HSA-9913263
P60709	P62736	R-HSA-9913263
P68133	30616	R-HSA-9913263
P60709	P60709	R-HSA-9913263
P62736	P62736	R-HSA-9913263
P60709	P63267	R-HSA-9913263
P63261	P63261	R-HSA-9913263
P63261	P68133	R-HSA-9913263
P68133	P68133	R-HSA-9913263
P62736	30616	R-HSA-9913263
P60709	30616	R-HSA-9913263
P68032	P62736	R-HSA-9913263
P63267	30616	R-HSA-9913263
P63261	P68032	R-HSA-9913263
P63261	P60709	R-HSA-9913263
P68032	30616	R-HSA-9913263
P63261	P63267	R-HSA-9913263
P68133	P62736	R-HSA-9913263
P63261	30616	R-HSA-9913263
P63267	P63267	R-HSA-9913263
P68032	P68032	R-HSA-9913263
P68032	P68133	R-HSA-9913263
P63261	P62736	R-HSA-9913263
P62736	P63267	R-HSA-9913263
P68032	P63267	R-HSA-9913263
P60709	P68133	R-HSA-9913263
P68133	P63267	R-HSA-9913263
P60709	30616	R-HSA-201877
P63261	P63261	R-HSA-201877
P63261	P60709	R-HSA-201877
P60709	P60709	R-HSA-201877
P63261	30616	R-HSA-201877
P01834	P12319	R-HSA-2685660
