Interactor1	Interactor2	Interaction
R-HSA-5640172	Q13227	R-HSA-9864612
O15379	P37231	R-HSA-9864612
P68431	85236	R-HSA-9864612
P84243	P37231	R-HSA-9864612
Q9BZK7	P37231	R-HSA-9864612
O60907	P37231	R-HSA-9864612
O15379	P19793	R-HSA-9864612
P84243	P37231	R-HSA-9864612
Q13227	P19793	R-HSA-9864612
P68431	Q13227	R-HSA-9864612
Q9Y618	P37231	R-HSA-9864612
P68431	Q9Y618	R-HSA-9864612
O75376	P37231	R-HSA-9864612
P62805	O60907	R-HSA-9864612
O15379	P37231	R-HSA-9864612
Q13227	P37231	R-HSA-9864612
Q71DI3	P37231	R-HSA-9864612
Q9BZK7	85236	R-HSA-9864612
P62805	P19793	R-HSA-9864612
Q9BZK7	P37231	R-HSA-9864612
O75376	P19793	R-HSA-9864612
R-HSA-5640172	O15379	R-HSA-9864612
P84243	85236	R-HSA-9864612
P68431	P37231	R-HSA-9864612
P84243	P19793	R-HSA-9864612
R-HSA-5640172	P37231	R-HSA-9864612
85236	P37231	R-HSA-9864612
R-HSA-5640172	85236	R-HSA-9864612
85236	P19793	R-HSA-9864612
Q71DI3	P37231	R-HSA-9864612
Q9Y618	P37231	R-HSA-9864612
P84243	O15379	R-HSA-9864612
O75376	P37231	R-HSA-9864612
Q71DI3	Q9Y618	R-HSA-9864612
Q71DI3	Q13227	R-HSA-9864612
Q9BZK7	P37231	R-HSA-9864612
P62805	O75376	R-HSA-9864612
Q71DI3	O15379	R-HSA-9864612
Q71DI3	P37231	R-HSA-9864612
O60907	85236	R-HSA-9864612
P84243	Q13227	R-HSA-9864612
P84243	Q9Y618	R-HSA-9864612
P62805	P37231	R-HSA-9864612
Q13227	85236	R-HSA-9864612
P62805	85236	R-HSA-9864612
Q9Y618	85236	R-HSA-9864612
Q71DI3	85236	R-HSA-9864612
P84243	O60907	R-HSA-9864612
R-HSA-5640172	O60907	R-HSA-9864612
P68431	P19793	R-HSA-9864612
P84243	P37231	R-HSA-9864612
Q9Y618	P19793	R-HSA-9864612
Q9Y618	P37231	R-HSA-9864612
O75376	P37231	R-HSA-9864612
P62805	Q9Y618	R-HSA-9864612
P68431	O15379	R-HSA-9864612
Q71DI3	Q9BZK7	R-HSA-9864612
O15379	P37231	R-HSA-9864612
P62805	P37231	R-HSA-9864612
Q71DI3	O60907	R-HSA-9864612
O60907	P37231	R-HSA-9864612
O15379	85236	R-HSA-9864612
Q9BZK7	P19793	R-HSA-9864612
P84243	Q9BZK7	R-HSA-9864612
Q13227	P37231	R-HSA-9864612
Q71DI3	P19793	R-HSA-9864612
P68431	P37231	R-HSA-9864612
R-HSA-5640172	Q9BZK7	R-HSA-9864612
P68431	O75376	R-HSA-9864612
Q13227	P37231	R-HSA-9864612
85236	P37231	R-HSA-9864615
O60907	P19793	R-HSA-9864615
O15379	P37231	R-HSA-9864615
O60907	P62805	R-HSA-9864615
O15379	P37231	R-HSA-9864615
Q13227	P19793	R-HSA-9864615
O60907	P37231	R-HSA-9864615
Q13227	85236	R-HSA-9864615
P37231	P84243	R-HSA-9864615
O75376	Q71DI3	R-HSA-9864615
Q9Y618	P84243	R-HSA-9864615
O75376	R-HSA-9859224	R-HSA-9864615
P37231	R-HSA-9859224	R-HSA-9864615
P19793	R-HSA-9859224	R-HSA-9864615
85236	P68431	R-HSA-9864615
85236	P37231	R-HSA-9864615
Q9Y618	85236	R-HSA-9864615
Q9Y618	R-HSA-9859224	R-HSA-9864615
P37231	P84243	R-HSA-9864615
O75376	P62805	R-HSA-9864615
O60907	P68431	R-HSA-9864615
P37231	P68431	R-HSA-9864615
O75376	P37231	R-HSA-9864615
Q9Y618	P37231	R-HSA-9864615
Q9BZK7	P19793	R-HSA-9864615
O60907	P37231	R-HSA-9864615
O15379	P62805	R-HSA-9864615
O15379	R-HSA-9859224	R-HSA-9864615
85236	P84243	R-HSA-9864615
P37231	Q71DI3	R-HSA-9864615
Q9BZK7	R-HSA-9859224	R-HSA-9864615
Q9BZK7	P84243	R-HSA-9864615
P37231	P62805	R-HSA-9864615
O15379	85236	R-HSA-9864615
Q13227	P37231	R-HSA-9864615
P19793	P84243	R-HSA-9864615
O60907	Q71DI3	R-HSA-9864615
O75376	P68431	R-HSA-9864615
Q13227	P37231	R-HSA-9864615
85236	P62805	R-HSA-9864615
Q9BZK7	P37231	R-HSA-9864615
P19793	Q71DI3	R-HSA-9864615
P37231	P62805	R-HSA-9864615
Q13227	R-HSA-9859224	R-HSA-9864615
Q9Y618	P19793	R-HSA-9864615
P37231	R-HSA-9859224	R-HSA-9864615
O60907	R-HSA-9859224	R-HSA-9864615
O60907	85236	R-HSA-9864615
O60907	P84243	R-HSA-9864615
O15379	P68431	R-HSA-9864615
P37231	P62805	R-HSA-9864615
Q9BZK7	P37231	R-HSA-9864615
P37231	P84243	R-HSA-9864615
Q9BZK7	Q71DI3	R-HSA-9864615
Q13227	Q71DI3	R-HSA-9864615
Q9Y618	P37231	R-HSA-9864615
O75376	85236	R-HSA-9864615
O75376	P37231	R-HSA-9864615
Q9Y618	P62805	R-HSA-9864615
Q13227	P62805	R-HSA-9864615
O15379	Q71DI3	R-HSA-9864615
Q9BZK7	P68431	R-HSA-9864615
85236	P37231	R-HSA-9864615
P19793	P68431	R-HSA-9864615
85236	Q71DI3	R-HSA-9864615
Q13227	P37231	R-HSA-9864615
P37231	Q71DI3	R-HSA-9864615
P19793	P62805	R-HSA-9864615
O75376	P84243	R-HSA-9864615
Q13227	P84243	R-HSA-9864615
Q9BZK7	P62805	R-HSA-9864615
P37231	P68431	R-HSA-9864615
O60907	P37231	R-HSA-9864615
P37231	P68431	R-HSA-9864615
Q9Y618	Q71DI3	R-HSA-9864615
O15379	P84243	R-HSA-9864615
85236	P19793	R-HSA-9864615
O15379	P37231	R-HSA-9864615
O15379	P19793	R-HSA-9864615
P37231	Q71DI3	R-HSA-9864615
Q9Y618	P68431	R-HSA-9864615
Q13227	P68431	R-HSA-9864615
O75376	P37231	R-HSA-9864615
Q9BZK7	P37231	R-HSA-9864615
Q9Y618	P37231	R-HSA-9864615
85236	R-HSA-9859224	R-HSA-9864615
O75376	P19793	R-HSA-9864615
Q9BZK7	85236	R-HSA-9864615
P37231	R-HSA-9859224	R-HSA-9864615
O15379	85236	R-HSA-9864627
Q13227	P37231	R-HSA-9864627
O60907	P37231	R-HSA-9864627
Q9Y618	P84243	R-HSA-9864627
Q9Y618	P37231	R-HSA-9864627
O75376	P37231	R-HSA-9864627
R-HSA-8962866	P37231	R-HSA-9864627
O75376	P19793	R-HSA-9864627
O75376	P62805	R-HSA-9864627
85236	Q71DI3	R-HSA-9864627
Q9Y618	85236	R-HSA-9864627
Q13227	85236	R-HSA-9864627
Q9BZK7	85236	R-HSA-9864627
Q9Y618	P37231	R-HSA-9864627
O15379	P84243	R-HSA-9864627
P68431	P37231	R-HSA-9864627
85236	P68431	R-HSA-9864627
Q9BZK7	R-HSA-8962866	R-HSA-9864627
P68431	P37231	R-HSA-9864627
Q13227	P19793	R-HSA-9864627
O75376	P37231	R-HSA-9864627
O75376	Q71DI3	R-HSA-9864627
O15379	Q71DI3	R-HSA-9864627
Q9BZK7	P84243	R-HSA-9864627
P62805	P37231	R-HSA-9864627
P84243	P19793	R-HSA-9864627
Q71DI3	P19793	R-HSA-9864627
Q13227	P37231	R-HSA-9864627
O75376	P68431	R-HSA-9864627
P84243	P37231	R-HSA-9864627
O60907	P84243	R-HSA-9864627
85236	P37231	R-HSA-9864627
85236	P84243	R-HSA-9864627
Q9Y618	P62805	R-HSA-9864627
O15379	P68431	R-HSA-9864627
85236	P37231	R-HSA-9864627
O60907	R-HSA-8962866	R-HSA-9864627
Q71DI3	P37231	R-HSA-9864627
Q9BZK7	P37231	R-HSA-9864627
O15379	P37231	R-HSA-9864627
P62805	P37231	R-HSA-9864627
P68431	P37231	R-HSA-9864627
O75376	85236	R-HSA-9864627
Q13227	P62805	R-HSA-9864627
O15379	P62805	R-HSA-9864627
R-HSA-8962866	P37231	R-HSA-9864627
Q9BZK7	P19793	R-HSA-9864627
Q71DI3	P37231	R-HSA-9864627
O75376	P84243	R-HSA-9864627
O60907	Q71DI3	R-HSA-9864627
P62805	P19793	R-HSA-9864627
O60907	P37231	R-HSA-9864627
Q9BZK7	Q71DI3	R-HSA-9864627
85236	R-HSA-8962866	R-HSA-9864627
Q9BZK7	P62805	R-HSA-9864627
Q9Y618	P19793	R-HSA-9864627
P68431	P19793	R-HSA-9864627
O15379	R-HSA-8962866	R-HSA-9864627
O60907	P68431	R-HSA-9864627
O75376	P37231	R-HSA-9864627
O60907	P37231	R-HSA-9864627
Q9Y618	P37231	R-HSA-9864627
Q9Y618	P68431	R-HSA-9864627
Q13227	P68431	R-HSA-9864627
Q13227	R-HSA-8962866	R-HSA-9864627
O60907	P62805	R-HSA-9864627
85236	P37231	R-HSA-9864627
O15379	P37231	R-HSA-9864627
Q9BZK7	P37231	R-HSA-9864627
O60907	P19793	R-HSA-9864627
O15379	P37231	R-HSA-9864627
O75376	R-HSA-8962866	R-HSA-9864627
Q71DI3	P37231	R-HSA-9864627
Q9Y618	R-HSA-8962866	R-HSA-9864627
Q13227	P37231	R-HSA-9864627
85236	P62805	R-HSA-9864627
Q13227	P84243	R-HSA-9864627
Q9BZK7	P37231	R-HSA-9864627
P62805	P37231	R-HSA-9864627
O15379	P19793	R-HSA-9864627
Q9BZK7	P68431	R-HSA-9864627
85236	P19793	R-HSA-9864627
R-HSA-8962866	P19793	R-HSA-9864627
P84243	P37231	R-HSA-9864627
P84243	P37231	R-HSA-9864627
O60907	85236	R-HSA-9864627
Q13227	Q71DI3	R-HSA-9864627
Q9Y618	Q71DI3	R-HSA-9864627
R-HSA-8962866	P37231	R-HSA-9864627
Q9Y618	P37231	R-HSA-9864625
O75376	P37231	R-HSA-9864625
Q71DI3	P37231	R-HSA-9864625
R-HSA-5640177	P37231	R-HSA-9864625
85236	P19793	R-HSA-9864625
P62805	O75376	R-HSA-9864625
Q71DI3	85236	R-HSA-9864625
Q71DI3	P37231	R-HSA-9864625
P84243	O15379	R-HSA-9864625
Q9BZK7	85236	R-HSA-9864625
O60907	P37231	R-HSA-9864625
R-HSA-5640177	Q13227	R-HSA-9864625
P84243	P19793	R-HSA-9864625
P68431	P37231	R-HSA-9864625
Q13227	P19793	R-HSA-9864625
O75376	P19793	R-HSA-9864625
O75376	P37231	R-HSA-9864625
P68431	P37231	R-HSA-9864625
Q9Y618	P37231	R-HSA-9864625
P84243	Q9BZK7	R-HSA-9864625
O15379	85236	R-HSA-9864625
Q13227	P37231	R-HSA-9864625
P68431	Q9Y618	R-HSA-9864625
P68431	Q13227	R-HSA-9864625
R-HSA-5640177	O60907	R-HSA-9864625
P84243	P37231	R-HSA-9864625
O60907	85236	R-HSA-9864625
85236	P37231	R-HSA-9864625
O60907	P19793	R-HSA-9864625
O15379	P37231	R-HSA-9864625
O15379	P37231	R-HSA-9864625
R-HSA-5640177	85236	R-HSA-9864625
P68431	P19793	R-HSA-9864625
Q9BZK7	P37231	R-HSA-9864625
P62805	O60907	R-HSA-9864625
Q71DI3	Q9Y618	R-HSA-9864625
P68431	Q9BZK7	R-HSA-9864625
O15379	P19793	R-HSA-9864625
Q71DI3	Q13227	R-HSA-9864625
P62805	85236	R-HSA-9864625
P84243	Q9Y618	R-HSA-9864625
P84243	P37231	R-HSA-9864625
P84243	Q13227	R-HSA-9864625
P62805	P37231	R-HSA-9864625
R-HSA-5640177	P37231	R-HSA-9864625
P62805	O15379	R-HSA-9864625
R-HSA-5640177	Q9Y618	R-HSA-9864625
Q9BZK7	P19793	R-HSA-9864625
Q71DI3	O60907	R-HSA-9864625
P62805	P19793	R-HSA-9864625
P68431	O60907	R-HSA-9864625
P84243	O75376	R-HSA-9864625
P68431	P37231	R-HSA-9864625
O75376	85236	R-HSA-9864625
Q71DI3	P37231	R-HSA-9864625
Q13227	P37231	R-HSA-9864625
Q9BZK7	P37231	R-HSA-9864625
O75376	P37231	R-HSA-9864625
Q9Y618	P37231	R-HSA-9864625
O60907	P37231	R-HSA-9864625
Q71DI3	Q9BZK7	R-HSA-9864625
Q13227	P37231	R-HSA-9864625
Q9Y618	P19793	R-HSA-9864625
P62805	Q9BZK7	R-HSA-9864625
R-HSA-5640177	O75376	R-HSA-9864625
R-HSA-5640177	P19793	R-HSA-9864625
O60907	P37231	R-HSA-9864625
P68431	O75376	R-HSA-9864625
R-HSA-5640177	O15379	R-HSA-9864625
O15379	P37231	R-HSA-9864625
P68431	O15379	R-HSA-9864625
Q9BZK7	P37231	R-HSA-9864625
Q71DI3	P19793	R-HSA-9864625
R-HSA-5640177	Q9BZK7	R-HSA-9864625
R-HSA-5640177	P37231	R-HSA-9864625
P62805	P37231	R-HSA-9864625
Q71DI3	O15379	R-HSA-9864625
P68431	85236	R-HSA-9864625
Q9Y618	85236	R-HSA-9864625
P62805	Q9Y618	R-HSA-9864625
P84243	85236	R-HSA-9864625
P84243	O60907	R-HSA-9864625
P62805	P37231	R-HSA-9864625
Q13227	85236	R-HSA-9864625
P62805	Q13227	R-HSA-9864625
85236	P37231	R-HSA-9864625
Q71DI3	O75376	R-HSA-9864625
P84243	P37231	R-HSA-9864625
85236	P37231	R-HSA-9864625
O75376	P62805	R-HSA-9864619
Q9Y618	P84243	R-HSA-9864619
O75376	P37231	R-HSA-9864619
P37231	Q71DI3	R-HSA-9864619
Q9Y618	P37231	R-HSA-9864619
O15379	R-HSA-8962802	R-HSA-9864619
85236	P19793	R-HSA-9864619
P37231	P84243	R-HSA-9864619
85236	R-HSA-8962802	R-HSA-9864619
Q13227	P84243	R-HSA-9864619
O75376	P37231	R-HSA-9864619
P37231	P68431	R-HSA-9864619
Q9Y618	P37231	R-HSA-9864619
Q13227	P37231	R-HSA-9864619
O15379	85236	R-HSA-9864619
85236	P84243	R-HSA-9864619
O15379	P37231	R-HSA-9864619
Q9BZK7	85236	R-HSA-9864619
O75376	P19793	R-HSA-9864619
Q9Y618	Q71DI3	R-HSA-9864619
P37231	Q71DI3	R-HSA-9864619
O15379	P37231	R-HSA-9864619
O75376	R-HSA-8962802	R-HSA-9864619
O60907	P62805	R-HSA-9864619
Q9Y618	R-HSA-8962802	R-HSA-9864619
P19793	P84243	R-HSA-9864619
O60907	85236	R-HSA-9864619
85236	P37231	R-HSA-9864619
O75376	P68431	R-HSA-9864619
P37231	P84243	R-HSA-9864619
P19793	Q71DI3	R-HSA-9864619
Q13227	Q71DI3	R-HSA-9864619
Q9BZK7	P84243	R-HSA-9864619
85236	P62805	R-HSA-9864619
P37231	P62805	R-HSA-9864619
Q9Y618	P19793	R-HSA-9864619
P19793	P68431	R-HSA-9864619
Q9BZK7	Q71DI3	R-HSA-9864619
Q9BZK7	R-HSA-8962802	R-HSA-9864619
Q9Y618	P37231	R-HSA-9864619
O75376	P37231	R-HSA-9864619
O60907	P19793	R-HSA-9864619
O60907	P68431	R-HSA-9864619
O60907	Q71DI3	R-HSA-9864619
O15379	P62805	R-HSA-9864619
O75376	85236	R-HSA-9864619
P37231	P68431	R-HSA-9864619
Q9BZK7	P19793	R-HSA-9864619
O60907	P37231	R-HSA-9864619
Q13227	P62805	R-HSA-9864619
Q9Y618	P62805	R-HSA-9864619
Q9BZK7	P68431	R-HSA-9864619
P37231	R-HSA-8962802	R-HSA-9864619
P19793	R-HSA-8962802	R-HSA-9864619
O60907	P84243	R-HSA-9864619
P37231	P62805	R-HSA-9864619
Q9BZK7	P37231	R-HSA-9864619
Q13227	P37231	R-HSA-9864619
Q9BZK7	P37231	R-HSA-9864619
O15379	P19793	R-HSA-9864619
O60907	R-HSA-8962802	R-HSA-9864619
P37231	P62805	R-HSA-9864619
P19793	P62805	R-HSA-9864619
P37231	Q71DI3	R-HSA-9864619
Q13227	P37231	R-HSA-9864619
P37231	R-HSA-8962802	R-HSA-9864619
Q13227	P68431	R-HSA-9864619
Q9BZK7	P37231	R-HSA-9864619
Q13227	R-HSA-8962802	R-HSA-9864619
O75376	Q71DI3	R-HSA-9864619
O15379	P37231	R-HSA-9864619
O15379	P68431	R-HSA-9864619
P37231	R-HSA-8962802	R-HSA-9864619
Q9Y618	P68431	R-HSA-9864619
85236	P37231	R-HSA-9864619
Q13227	P19793	R-HSA-9864619
Q9BZK7	P62805	R-HSA-9864619
P37231	P84243	R-HSA-9864619
Q9Y618	85236	R-HSA-9864619
P37231	P68431	R-HSA-9864619
O60907	P37231	R-HSA-9864619
85236	Q71DI3	R-HSA-9864619
85236	P37231	R-HSA-9864619
O15379	P84243	R-HSA-9864619
Q13227	85236	R-HSA-9864619
O60907	P37231	R-HSA-9864619
O75376	P84243	R-HSA-9864619
O15379	Q71DI3	R-HSA-9864619
85236	P68431	R-HSA-9864619
O60907	P37231	R-HSA-9864608
P84243	P37231	R-HSA-9864608
Q13227	85236	R-HSA-9864608
O15379	85236	R-HSA-9864608
O75376	P19793	R-HSA-9864608
Q13227	P19793	R-HSA-9864608
P68431	85236	R-HSA-9864608
O15379	P37231	R-HSA-9864608
85236	P37231	R-HSA-9864608
Q71DI3	85236	R-HSA-9864608
85236	P19793	R-HSA-9864608
O15379	P37231	R-HSA-9864608
O60907	P19793	R-HSA-9864608
Q71DI3	P37231	R-HSA-9864608
Q9Y618	85236	R-HSA-9864608
P84243	Q9Y618	R-HSA-9864608
P62805	O75376	R-HSA-9864608
Q71DI3	O75376	R-HSA-9864608
P84243	Q13227	R-HSA-9864608
P84243	P37231	R-HSA-9864608
Q71DI3	Q13227	R-HSA-9864608
R-HSA-9859113	P37231	R-HSA-9864608
P68431	Q9Y618	R-HSA-9864608
Q71DI3	O15379	R-HSA-9864608
R-HSA-9859113	P19793	R-HSA-9864608
Q9BZK7	P37231	R-HSA-9864608
P68431	P37231	R-HSA-9864608
O15379	P37231	R-HSA-9864608
Q71DI3	Q9Y618	R-HSA-9864608
P84243	P37231	R-HSA-9864608
P62805	O60907	R-HSA-9864608
Q71DI3	P37231	R-HSA-9864608
Q13227	P37231	R-HSA-9864608
Q9BZK7	P37231	R-HSA-9864608
P84243	O15379	R-HSA-9864608
R-HSA-9859113	O75376	R-HSA-9864608
O60907	P37231	R-HSA-9864608
Q9BZK7	85236	R-HSA-9864608
P62805	Q9BZK7	R-HSA-9864608
R-HSA-9859113	Q9Y618	R-HSA-9864608
P62805	P19793	R-HSA-9864608
O75376	P37231	R-HSA-9864608
P68431	Q13227	R-HSA-9864608
R-HSA-9859113	Q13227	R-HSA-9864608
Q9Y618	P37231	R-HSA-9864608
Q9Y618	P37231	R-HSA-9864608
P62805	Q9Y618	R-HSA-9864608
P62805	Q13227	R-HSA-9864608
Q71DI3	P37231	R-HSA-9864608
P62805	O15379	R-HSA-9864608
P68431	P37231	R-HSA-9864608
P84243	O60907	R-HSA-9864608
O75376	85236	R-HSA-9864608
O75376	P37231	R-HSA-9864608
O15379	P19793	R-HSA-9864608
P68431	O60907	R-HSA-9864608
P62805	85236	R-HSA-9864608
P62805	P37231	R-HSA-9864608
P68431	P19793	R-HSA-9864608
P84243	O75376	R-HSA-9864608
R-HSA-9859113	P37231	R-HSA-9864608
O60907	85236	R-HSA-9864608
P68431	Q9BZK7	R-HSA-9864608
R-HSA-9859113	85236	R-HSA-9864608
P62805	P37231	R-HSA-9864608
P84243	Q9BZK7	R-HSA-9864608
P62805	P37231	R-HSA-9864608
85236	P37231	R-HSA-9864608
P84243	P19793	R-HSA-9864608
85236	P37231	R-HSA-9864608
Q9BZK7	P37231	R-HSA-9864608
R-HSA-9859113	Q9BZK7	R-HSA-9864608
P68431	O15379	R-HSA-9864608
R-HSA-9859113	P37231	R-HSA-9864608
P84243	85236	R-HSA-9864608
P68431	P37231	R-HSA-9864608
R-HSA-9859113	O15379	R-HSA-9864608
Q71DI3	P19793	R-HSA-9864608
Q9Y618	P19793	R-HSA-9864608
Q71DI3	Q9BZK7	R-HSA-9864608
R-HSA-9859113	O60907	R-HSA-9864608
Q9Y618	P37231	R-HSA-9864608
P68431	O75376	R-HSA-9864608
O75376	P37231	R-HSA-9864608
Q71DI3	O60907	R-HSA-9864608
Q13227	P37231	R-HSA-9864608
O60907	P37231	R-HSA-9864608
Q13227	P37231	R-HSA-9864608
Q9BZK7	P19793	R-HSA-9864608
Q9BZK7	P37231	R-HSA-9864628
Q71DI3	Q13227	R-HSA-9864628
R-HSA-5649952	Q13227	R-HSA-9864628
P84243	P37231	R-HSA-9864628
P68431	O15379	R-HSA-9864628
P84243	P19793	R-HSA-9864628
Q9BZK7	P37231	R-HSA-9864628
O15379	P37231	R-HSA-9864628
Q71DI3	O15379	R-HSA-9864628
Q71DI3	85236	R-HSA-9864628
R-HSA-5649952	P37231	R-HSA-9864628
P62805	P37231	R-HSA-9864628
P62805	85236	R-HSA-9864628
P84243	85236	R-HSA-9864628
P84243	O60907	R-HSA-9864628
R-HSA-5649952	O60907	R-HSA-9864628
Q71DI3	P37231	R-HSA-9864628
85236	P19793	R-HSA-9864628
P62805	Q9Y618	R-HSA-9864628
P62805	P37231	R-HSA-9864628
R-HSA-5649952	P37231	R-HSA-9864628
85236	P37231	R-HSA-9864628
Q71DI3	Q9Y618	R-HSA-9864628
P84243	Q13227	R-HSA-9864628
Q71DI3	P37231	R-HSA-9864628
P68431	Q9BZK7	R-HSA-9864628
P62805	Q13227	R-HSA-9864628
O60907	85236	R-HSA-9864628
P68431	P37231	R-HSA-9864628
O60907	P37231	R-HSA-9864628
O75376	P19793	R-HSA-9864628
O15379	P19793	R-HSA-9864628
Q9Y618	85236	R-HSA-9864628
Q13227	85236	R-HSA-9864628
Q13227	P37231	R-HSA-9864628
P84243	O75376	R-HSA-9864628
P68431	85236	R-HSA-9864628
Q71DI3	P37231	R-HSA-9864628
O60907	P37231	R-HSA-9864628
P62805	P19793	R-HSA-9864628
Q13227	P19793	R-HSA-9864628
Q9BZK7	85236	R-HSA-9864628
R-HSA-5649952	85236	R-HSA-9864628
P84243	O15379	R-HSA-9864628
Q9Y618	P37231	R-HSA-9864628
O75376	P37231	R-HSA-9864628
P68431	Q9Y618	R-HSA-9864628
P68431	Q13227	R-HSA-9864628
P68431	P37231	R-HSA-9864628
P62805	Q9BZK7	R-HSA-9864628
Q71DI3	O75376	R-HSA-9864628
P62805	P37231	R-HSA-9864628
P62805	O60907	R-HSA-9864628
Q9BZK7	P37231	R-HSA-9864628
P68431	O75376	R-HSA-9864628
85236	P37231	R-HSA-9864628
O15379	P37231	R-HSA-9864628
O60907	P19793	R-HSA-9864628
R-HSA-5649952	P19793	R-HSA-9864628
R-HSA-5649952	O75376	R-HSA-9864628
P84243	P37231	R-HSA-9864628
85236	P37231	R-HSA-9864628
R-HSA-5649952	Q9Y618	R-HSA-9864628
O15379	P37231	R-HSA-9864628
R-HSA-5649952	P37231	R-HSA-9864628
P84243	P37231	R-HSA-9864628
O15379	85236	R-HSA-9864628
Q13227	P37231	R-HSA-9864628
O75376	85236	R-HSA-9864628
P84243	Q9Y618	R-HSA-9864628
P62805	O15379	R-HSA-9864628
P62805	O75376	R-HSA-9864628
Q9Y618	P37231	R-HSA-9864628
O75376	P37231	R-HSA-9864628
R-HSA-5649952	O15379	R-HSA-9864628
Q71DI3	O60907	R-HSA-9864628
P68431	P19793	R-HSA-9864628
R-HSA-5649952	Q9BZK7	R-HSA-9864628
Q9Y618	P37231	R-HSA-9864628
Q71DI3	Q9BZK7	R-HSA-9864628
O75376	P37231	R-HSA-9864628
P68431	O60907	R-HSA-9864628
P68431	P37231	R-HSA-9864628
Q13227	P37231	R-HSA-9864628
Q71DI3	P19793	R-HSA-9864628
Q9BZK7	P19793	R-HSA-9864628
O60907	P37231	R-HSA-9864628
P84243	Q9BZK7	R-HSA-9864628
Q9Y618	P19793	R-HSA-9864628
P68431	O60907	R-HSA-9864610
P84243	O75376	R-HSA-9864610
P62805	P19793	R-HSA-9864610
Q13227	P37231	R-HSA-9864610
R-HSA-5640178	85236	R-HSA-9864610
Q9BZK7	P19793	R-HSA-9864610
R-HSA-5640178	O15379	R-HSA-9864610
O60907	P37231	R-HSA-9864610
O60907	P37231	R-HSA-9864610
P62805	Q13227	R-HSA-9864610
P62805	Q9BZK7	R-HSA-9864610
P68431	P37231	R-HSA-9864610
O75376	P37231	R-HSA-9864610
Q71DI3	O75376	R-HSA-9864610
Q9Y618	P37231	R-HSA-9864610
O75376	85236	R-HSA-9864610
85236	P37231	R-HSA-9864610
P62805	O15379	R-HSA-9864610
P68431	P19793	R-HSA-9864610
Q9Y618	P19793	R-HSA-9864610
85236	P37231	R-HSA-9864610
Q71DI3	Q9BZK7	R-HSA-9864610
Q71DI3	P19793	R-HSA-9864610
P68431	O15379	R-HSA-9864610
P84243	O60907	R-HSA-9864610
P84243	P37231	R-HSA-9864610
Q9BZK7	P37231	R-HSA-9864610
P62805	Q9Y618	R-HSA-9864610
P62805	P37231	R-HSA-9864610
R-HSA-5640178	Q9Y618	R-HSA-9864610
O15379	P37231	R-HSA-9864610
R-HSA-5640178	O75376	R-HSA-9864610
P62805	P37231	R-HSA-9864610
P84243	Q9BZK7	R-HSA-9864610
Q13227	P37231	R-HSA-9864610
P84243	85236	R-HSA-9864610
R-HSA-5640178	Q13227	R-HSA-9864610
Q13227	P37231	R-HSA-9864610
R-HSA-5640178	P37231	R-HSA-9864610
P68431	O75376	R-HSA-9864610
P84243	P19793	R-HSA-9864610
Q71DI3	O60907	R-HSA-9864610
P84243	O15379	R-HSA-9864610
P68431	P37231	R-HSA-9864610
O75376	P37231	R-HSA-9864610
Q9BZK7	85236	R-HSA-9864610
85236	P19793	R-HSA-9864610
Q71DI3	85236	R-HSA-9864610
P84243	Q13227	R-HSA-9864610
R-HSA-5640178	Q9BZK7	R-HSA-9864610
Q9Y618	P37231	R-HSA-9864610
Q71DI3	P37231	R-HSA-9864610
Q71DI3	P37231	R-HSA-9864610
P68431	P37231	R-HSA-9864610
O75376	P37231	R-HSA-9864610
P84243	Q9Y618	R-HSA-9864610
Q71DI3	Q9Y618	R-HSA-9864610
O15379	85236	R-HSA-9864610
85236	P37231	R-HSA-9864610
R-HSA-5640178	P19793	R-HSA-9864610
Q9Y618	P37231	R-HSA-9864610
Q13227	85236	R-HSA-9864610
O60907	P37231	R-HSA-9864610
Q9Y618	85236	R-HSA-9864610
P62805	O75376	R-HSA-9864610
P68431	85236	R-HSA-9864610
Q71DI3	O15379	R-HSA-9864610
O60907	P19793	R-HSA-9864610
Q9BZK7	P37231	R-HSA-9864610
O15379	P37231	R-HSA-9864610
P62805	85236	R-HSA-9864610
O60907	85236	R-HSA-9864610
P84243	P37231	R-HSA-9864610
P68431	Q13227	R-HSA-9864610
P68431	Q9BZK7	R-HSA-9864610
P62805	P37231	R-HSA-9864610
Q13227	P19793	R-HSA-9864610
R-HSA-5640178	O60907	R-HSA-9864610
P84243	P37231	R-HSA-9864610
R-HSA-5640178	P37231	R-HSA-9864610
P68431	Q9Y618	R-HSA-9864610
R-HSA-5640178	P37231	R-HSA-9864610
Q71DI3	Q13227	R-HSA-9864610
O15379	P19793	R-HSA-9864610
P62805	O60907	R-HSA-9864610
O75376	P19793	R-HSA-9864610
Q71DI3	P37231	R-HSA-9864610
Q9BZK7	P37231	R-HSA-9864610
O15379	P37231	R-HSA-9864610
Q9BZK7	85236	R-HSA-9864629
Q9Y618	P37231	R-HSA-9864629
85236	Q71DI3	R-HSA-9864629
P37231	Q71DI3	R-HSA-9864629
O15379	P84243	R-HSA-9864629
85236	P84243	R-HSA-9864629
P37231	P68431	R-HSA-9864629
P19793	P84243	R-HSA-9864629
O15379	P37231	R-HSA-9864629
O75376	P62805	R-HSA-9864629
O15379	R-HSA-5649938	R-HSA-9864629
85236	R-HSA-5649938	R-HSA-9864629
